component,explained_variance_ratio,cumulative_explained_variance
228,0.0006628999835811555,0.8786239884211682
229,0.000661078083794564,0.8792850665049627
230,0.0006562537746503949,0.8799413202796131
231,0.0006556520238518715,0.880596972303465
232,0.0006486008642241359,0.8812455731676891
233,0.0006396438111551106,0.8818852169788443
234,0.0006378568359650671,0.8825230738148093
235,0.0006330969627015293,0.8831561707775109
236,0.00062671082559973,0.8837828816031106
237,0.0006188953411765397,0.8844017769442871
238,0.0006168563268147409,0.8850186332711019
239,0.0006145008956082165,0.8856331341667101
240,0.0006095548742450774,0.8862426890409552
241,0.0006065272027626634,0.8868492162437178
242,0.0006048381910659373,0.8874540544347838
243,0.0006022988818585873,0.8880563533166423
244,0.0005959832342341542,0.8886523365508765
245,0.0005930020124651492,0.8892453385633416
246,0.000590548908803612,0.8898358874721453
247,0.0005854155169799924,0.8904213029891253
248,0.0005801168153993785,0.8910014198045246
249,0.0005775369354523718,0.891578956739977
250,0.000575922429561615,0.8921548791695386
251,0.000573591620195657,0.8927284707897343
252,0.0005707642994821072,0.8932992350892164
253,0.0005666374927386642,0.893865872581955
254,0.0005624951445497572,0.8944283677265048
255,0.0005605608457699418,0.8949889285722747
256,0.0005560778663493693,0.8955450064386241
257,0.0005548538756556809,0.8960998603142798
258,0.0005523358122445643,0.8966521961265244
259,0.0005473041092045605,0.8971995002357289
260,0.0005465295980684459,0.8977460298337974
261,0.000538986932951957,0.8982850167667493
262,0.0005367716657929122,0.8988217884325422
263,0.0005361998337320983,0.8993579882662743
264,0.0005317439208738506,0.8998897321871482
265,0.0005290760891512036,0.9004188082762994
266,0.0005263608763925731,0.900945169152692
267,0.0005239479942247272,0.9014691171469167
268,0.0005195459234528244,0.9019886630703695
269,0.0005170220974832773,0.9025056851678528
270,0.0005152256926521659,0.903020910860505
271,0.0005105165182612836,0.9035314273787662
272,0.0005094859516248107,0.904040913330391
273,0.0005048579769209027,0.904545771307312
274,0.000504335795994848,0.9050501071033068
275,0.0005005346611142159,0.905550641764421
276,0.0004950871225446463,0.9060457288869657
277,0.0004936124314554036,0.9065393413184211
278,0.0004923035739921033,0.9070316448924132
279,0.0004883905057795346,0.9075200353981927
280,0.0004846904776059091,0.9080047258757986
281,0.00048354329192079604,0.9084882691677194
282,0.0004819958994630724,0.9089702650671825
283,0.000479713809909299,0.9094499788770918
284,0.0004767718492075801,0.9099267507262994
285,0.0004753936664201319,0.9104021443927195
286,0.00047135609202086926,0.9108735004847404
287,0.0004695229581557214,0.9113430234428961
288,0.0004648682661354542,0.9118078917090315
289,0.000463767908513546,0.9122716596175451
290,0.0004608806048054248,0.9127325402223505
291,0.0004548686556518078,0.9131874088780023
292,0.00045229942770674825,0.9136397083057091
293,0.0004496429755818099,0.9140893512812909
294,0.0004474816669244319,0.9145368329482153
295,0.00044591494952328503,0.9149827478977386
296,0.0004421121848281473,0.9154248600825667
297,0.00043877228745259345,0.9158636323700193
298,0.0004359058220870793,0.9162995381921064
299,0.0004349758673924953,0.9167345140594989
300,0.0004313813988119364,0.9171658954583108
301,0.00042960906284861267,0.9175955045211595
302,0.0004286097246222198,0.9180241142457817
303,0.0004273118684068322,0.9184514261141885
304,0.00042298625339753926,0.918874412367586
305,0.00042178924195468426,0.9192962016095407
306,0.0004198321548756212,0.9197160337644164
307,0.00041704444447532296,0.9201330782088917
308,0.0004150572349317372,0.9205481354438234
309,0.00041080795926973224,0.9209589434030931
310,0.00041032364242710173,0.9213692670455202
311,0.00040779451956041157,0.9217770615650807
312,0.00040593728772364557,0.9221829988528043
313,0.00040465511847287416,0.9225876539712772
314,0.0004035553429275751,0.9229912093142048
315,0.0003998476604465395,0.9233910569746513
316,0.0003977775340899825,0.9237888345087413
317,0.00039560103323310614,0.9241844355419744
318,0.0003930063103325665,0.924577441852307
319,0.0003922068572137505,0.9249696487095207
320,0.0003906738420482725,0.925360322551569
321,0.00038971594767645,0.9257500384992454
322,0.0003869959618896246,0.926137034461135
323,0.00038672529626637697,0.9265237597574014
324,0.00038375332951545715,0.9269075130869169
325,0.00038158486131578684,0.9272890979482327
326,0.0003784246218856424,0.9276675225701183
327,0.00037699576932936907,0.9280445183394477
328,0.0003758222737815231,0.9284203406132292
329,0.0003735196078196168,0.9287938602210488
330,0.00037202663952484727,0.9291658868605737
331,0.0003713201149366796,0.9295372069755103
332,0.00036935319076292217,0.9299065601662733
333,0.000368234992492944,0.9302747951587662
334,0.00036584518966265023,0.9306406403484289
335,0.00036415562499314547,0.931004795973422
336,0.0003618714108597487,0.9313666673842818
337,0.0003573294379748404,0.9317239968222566
338,0.00035590463085100055,0.9320799014531076
339,0.00035369573743082583,0.9324335971905384
340,0.00035190104972571135,0.9327854982402641
341,0.00034776839311234653,0.9331332666333765
342,0.00034658805816434324,0.9334798546915408
343,0.00034607420093379915,0.9338259288924746
344,0.0003435186517890543,0.9341694475442637
345,0.00034258575760759413,0.9345120333018713
346,0.00034108286490663886,0.9348531161667779
347,0.0003394589002709836,0.9351925750670489
348,0.0003385601448826492,0.9355311352119315
349,0.00033555744448676705,0.9358666926564183
350,0.0003331147599965334,0.9361998074164148
351,0.0003317614318802953,0.9365315688482951
352,0.0003308619780000299,0.9368624308262952
353,0.0003299808013252914,0.9371924116276205
354,0.00032748476951383054,0.9375198963971343
355,0.0003270265879109502,0.9378469229850452
356,0.0003260869125369936,0.9381730098975822
357,0.00032221703440882266,0.9384952269319911
358,0.00032115011708810925,0.9388163770490792
359,0.00032014382304623723,0.9391365208721254
360,0.0003192196600139141,0.9394557405321393
361,0.00031728745670989156,0.9397730279888492
362,0.00031644097180105746,0.9400894689606503
363,0.00031392835080623627,0.9404033973114565
364,0.0003127023810520768,0.9407160996925086
365,0.000310431991238147,0.9410265316837467
366,0.0003092274710070342,0.9413357591547538
367,0.0003084776399191469,0.9416442367946729
368,0.00030628073727712035,0.94195051753195
369,0.00030527697526849806,0.9422557945072185
370,0.00030412073829211295,0.9425599152455106
371,0.00030256382888183,0.9428624790743925
372,0.0003016281989403069,0.9431641072733328
373,0.0002999721618834883,0.9434640794352163
374,0.00029932736651971936,0.943763406801736
375,0.00029843629454262555,0.9440618430962786
376,0.0002951191854663193,0.9443569622817449
377,0.000292173441266641,0.9446491357230116
378,0.00029146994347684085,0.9449406056664884
379,0.000289764633635059,0.9452303703001235
380,0.00028845577617175877,0.9455188260762952
381,0.00028799258871003985,0.9458068186650053
382,0.00028717058012261987,0.9460939892451279
383,0.0002848459407687187,0.9463788351858966
384,0.0002838084183167666,0.9466626436042134
385,0.0002814501931425184,0.9469440937973559
386,0.0002800318761728704,0.9472241256735288
387,0.00027959790895693004,0.9475037235824857
388,0.0002776813053060323,0.9477814048877917
389,0.0002771620638668537,0.9480585669516586
390,0.00027610914548859,0.9483346760971472
391,0.0002744486555457115,0.9486091247526929
392,0.00027354026678949594,0.9488826650194824
393,0.00027269255951978266,0.9491553575790022
394,0.000271850818535313,0.9494272083975375
395,0.0002692603738978505,0.9496964687714353
396,0.0002691179106477648,0.9499655866820831
397,0.00026766929659061134,0.9502332559786737
398,0.0002672323025763035,0.95050048828125
399,0.0002656904689501971,0.9507661787502002
400,0.00026425853138789535,0.9510304372815881
401,0.000263759313384071,0.9512941965949722
402,0.00026113211060874164,0.9515553287055809
403,0.0002605848421808332,0.9518159135477617
404,0.00025965803069993854,0.9520755715784617
405,0.0002586978080216795,0.9523342693864834
406,0.00025744925369508564,0.9525917186401784
407,0.0002563311718404293,0.9528480498120189
408,0.00025485610240139067,0.9531029059144203
409,0.0002529512858018279,0.9533558572002221
410,0.00025200325762853026,0.9536078604578506
411,0.00025045714573934674,0.95385831760359
412,0.0002497964014764875,0.9541081140050665
413,0.00024946610210463405,0.9543575801071711
414,0.0002477786911185831,0.9546053587982897
415,0.00024668092373758554,0.9548520397220273
416,0.0002462500415276736,0.9550982897635549
417,0.0002454149362165481,0.9553437046997715
418,0.00024455698439851403,0.95558826168417
419,0.00024373196356464177,0.9558319936477346
420,0.0002424929552944377,0.9560744866030291
421,0.00024193472927436233,0.9563164213323034
422,0.0002403005346423015,0.9565567218669457
423,0.00023926941503304988,0.9567959912819788
424,0.00023797077301423997,0.957033962054993
425,0.00023713339760433882,0.9572710954525974
426,0.00023620670253876597,0.9575073021551361
427,0.000234288745559752,0.9577415909006959
428,0.00023322504421230406,0.9579748159449082
429,0.0002327662950847298,0.9582075822399929
430,0.0002323098451597616,0.9584398920851527
431,0.00023126037558540702,0.9586711524607381
432,0.00023004997638054192,0.9589012024371186
433,0.000229591503739357,0.959130793940858
434,0.0002285697846673429,0.9593593637255253
435,0.00022831771639175713,0.9595876814419171
436,0.00022581644589081407,0.9598134978878079
437,0.0002250651887152344,0.9600385630765231
438,0.00022447679657489061,0.960263039873098
439,0.00022308691404759884,0.9604861267871456
440,0.0002219166053691879,0.9607080433925148
441,0.00022143908427096903,0.9609294824767858
442,0.00022054770670365542,0.9611500301834894
443,0.00021904877212364227,0.9613690789556131
444,0.00021793543419335037,0.9615870143898064
445,0.0002169587096432224,0.9618039730994496
446,0.0002158390561817214,0.9620198121556314
447,0.0002144821046385914,0.96223429426027
448,0.00021433977235574275,0.9624486340326257
449,0.00021338200895115733,0.9626620160415769
450,0.00021233387815300375,0.9628743499197299
451,0.00021180746261961758,0.9630861573823495
452,0.00021039652347099036,0.9632965539058205
453,0.0002091212518280372,0.9635056751576485
454,0.00020895828492939472,0.9637146334425779
455,0.00020816241158172488,0.9639227958541596
456,0.00020633279928006232,0.9641291286534397
457,0.00020583142759278417,0.9643349600810325
458,0.00020546185260172933,0.9645404219336342
459,0.00020515079086180776,0.964745572724496
460,0.0002035937795881182,0.9649491665040841
461,0.00020273029804229736,0.9651518968021264
462,0.00020202272571623325,0.9653539195278427
463,0.00020121055422350764,0.9655551300820662
464,0.0002002148685278371,0.965755344950594
465,0.00019902798521798104,0.965954372935812
466,0.00019828321819659323,0.9661526561540086
467,0.00019762299780268222,0.9663502791518113
468,0.0001970257144421339,0.9665473048662534
469,0.00019559448992367834,0.9667428993561771
470,0.0001951985905179754,0.966938097946695
471,0.0001948294957401231,0.9671329274424352
472,0.00019388935470487922,0.96732681679714
473,0.00019318236445542425,0.9675199991615955
474,0.00019190767488908023,0.9677119068364846
475,0.00019105052342638373,0.9679029573599109
476,0.00019082252401858568,0.9680937798839295
477,0.00018947954231407493,0.9682832594262436
478,0.00018876504327636212,0.96847202446952
479,0.00018820299010258168,0.9686602274596225
480,0.0001875157031463459,0.9688477431627689
481,0.00018674279272090644,0.9690344859554898
482,0.0001858956675278023,0.9692203816230176
483,0.00018548293155618012,0.9694058645545738
484,0.00018476821423973888,0.9695906327688135
485,0.00018397664825897664,0.9697746094170725
486,0.00018371467012912035,0.9699583240872016
487,0.0001821247860789299,0.9701404488732805
488,0.00018161565822083503,0.9703220645315014
489,0.00017989064508583397,0.9705019551765872
490,0.00017935203504748642,0.9706813072116347
491,0.00017920143727678806,0.9708605086489115
492,0.00017768327961675823,0.9710381919285282
493,0.00017731741536408663,0.9712155093438923
494,0.00017668152577243745,0.9713921908696648
495,0.00017652276437729597,0.9715687136340421
496,0.0001751837262418121,0.9717438973602839
497,0.00017387678963132203,0.9719177741499152
498,0.00017337396275252104,0.9720911481126677
499,0.0001727387571008876,0.9722638868697686
500,0.0001723592431517318,0.9724362461129203
501,0.00017151862266473472,0.9726077647355851
502,0.00017111000488512218,0.9727788747404702
503,0.00017047076835297048,0.9729493455088232
504,0.000169804145116359,0.9731191496539395
505,0.00016824764315970242,0.9732873972970992
506,0.00016793767281342298,0.9734553349699127
507,0.0001673268125159666,0.9736226617824286
508,0.000166864920174703,0.9737895267026033
