generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,candidate_type,probability_path
2026-06-01T08:38:57.742146+00:00,42,test,blend_dl01_xgb06_lgbm03,0.5,default_0.5,0.8640261967877748,0.8541981059563944,0.9124293785310734,0.7385670731707317,0.8163437236731256,3789,2624,0.910601291286072,0.8994260212083429,0.10885175649711322,3603,186,686,1938,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.753258+00:00,42,train,blend_dl01_xgb07_lgbm02,0.5,default_0.5,0.902917488219764,0.8964688281706957,0.957488490547556,0.7982198268822472,0.8706301491872634,17677,12246,0.9679747489637739,0.9603986045427985,0.0828561362710726,17243,434,2471,9775,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.774098+00:00,42,val,blend_dl01_xgb07_lgbm02,0.5,default_0.5,0.8669889287385,0.8570876284788147,0.9214659685863874,0.7378048780487805,0.8194708994708995,3789,2624,0.9140785425075153,0.9060929211359197,0.10707760891038984,3624,165,688,1936,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.783612+00:00,42,test,blend_dl01_xgb07_lgbm02,0.5,default_0.5,0.8619990644004366,0.8520116013623943,0.9095619406500236,0.7358993902439024,0.8135664630292817,3789,2624,0.9094898824582069,0.8984131867206017,0.10970963719209666,3597,192,693,1931,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.794699+00:00,42,train,blend_dl01_xgb08_lgbm01,0.5,default_0.5,0.8987066804798984,0.8918701978120713,0.953806756623658,0.7907888290053895,0.8646814589937051,17677,12246,0.9630051417791361,0.9551854875936323,0.08602195514190404,17208,469,2562,9684,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.814399+00:00,42,val,blend_dl01_xgb08_lgbm01,0.5,default_0.5,0.8655855293934196,0.8555159496836409,0.920324427480916,0.7351371951219512,0.8173728813559322,3789,2624,0.9131675895886038,0.9051724691762983,0.10781869024020345,3622,167,695,1929,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.824026+00:00,42,test,blend_dl01_xgb08_lgbm01,0.5,default_0.5,0.8602837985342273,0.8501591752095563,0.907163053722903,0.7336128048780488,0.8112094395280236,3789,2624,0.9082025592375876,0.8972144189041293,0.11062679126608913,3592,197,699,1925,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.835292+00:00,42,train,blend_dl01_xgb09_lgbm00,0.5,default_0.5,0.8943621963038465,0.887130913498122,0.9496189250717608,0.7834394904458599,0.8585619043357645,17677,12246,0.9572543177323617,0.9493476692586711,0.08928690053806079,17168,509,2652,9594,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.858958+00:00,42,val,blend_dl01_xgb09_lgbm00,0.5,default_0.5,0.8638702635272103,0.8537109905812756,0.9171033825631253,0.7336128048780488,0.8151598560237138,3789,2624,0.9121467027467187,0.9041289531197583,0.10861932941050341,3615,174,699,1925,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.868811+00:00,42,test,blend_dl01_xgb09_lgbm00,0.5,default_0.5,0.8584125994074536,0.8481787617068878,0.903954802259887,0.7317073170731707,0.8087615838247684,3789,2624,0.9067528999221108,0.8958757480728274,0.1116032205994685,3585,204,704,1920,weighted_blend,not_saved_candidate_probability
