generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,target_precision_fake,target_met,candidate_name
2026-06-09T19:36:00.646180+00:00,42,val,phase5_lgbm_raw,0.87,threshold_sweep,0.9019179791049431,0.8942775213328646,0.9830508474576272,0.7736280487804879,0.8658562593303476,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3754,35,594,2030,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.655791+00:00,42,val,phase5_lgbm_raw,0.88,threshold_sweep,0.9014501793232497,0.8937251908428971,0.983495145631068,0.7721036585365854,0.8650725875320239,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3755,34,598,2026,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.665562+00:00,42,val,phase5_lgbm_raw,0.89,threshold_sweep,0.9008264462809917,0.8929942493960071,0.9839337877312561,0.7701981707317073,0.864044463445917,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3756,33,603,2021,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.675446+00:00,42,val,phase5_lgbm_raw,0.9,threshold_sweep,0.9003586464992983,0.892440475226508,0.984382625671059,0.7686737804878049,0.8632570083458164,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3757,32,607,2017,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.685640+00:00,42,val,phase5_lgbm_raw,0.91,threshold_sweep,0.9000467799781694,0.8920841000624672,0.9843673668783586,0.7679115853658537,0.8627702847356027,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3757,32,609,2015,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.695471+00:00,42,val,phase5_lgbm_raw,0.92,threshold_sweep,0.8998908467176049,0.8918860537797522,0.9848336594911937,0.7671493902439024,0.8624678663239075,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3758,31,611,2013,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.705220+00:00,42,val,phase5_lgbm_raw,0.93,threshold_sweep,0.898955247154218,0.8907752567486813,0.9857423795476893,0.7641006097560976,0.8608844997853156,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3760,29,619,2005,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.715176+00:00,42,val,phase5_lgbm_raw,0.94,threshold_sweep,0.8975518478091377,0.8891453975528663,0.986159169550173,0.7602896341463414,0.8586184635248547,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3761,28,629,1995,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.724956+00:00,42,val,phase5_lgbm_raw,0.95,threshold_sweep,0.8969281147668797,0.8884081577746459,0.9866137828458106,0.7583841463414634,0.8575737987502693,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3762,27,634,1990,0.975,True,phase5_lgbm_raw
2026-06-09T19:36:00.734692+00:00,42,val,phase5_lgbm_raw,0.96,threshold_sweep,0.8952128489006705,0.8864128380069511,0.9870259481037924,0.7538109756097561,0.8547968885047537,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3763,26,646,1978,0.975,True,phase5_lgbm_raw
