generated_at_utc,seed,trial,status,objective,best_val_macro_f1,best_val_precision_fake,best_val_roc_auc,best_val_objective_score,elapsed_sec,pso_subset_ratio,pso_subset_rows,model_variant,learning_rate,dropout,cnn_filters,kernel_size,lstm_hidden,attention_dim,focal_gamma,batch_size,component_block_weights
2026-06-01T08:12:00.356760+00:00,42,11,ok,-0.764383950625703,0.7497926144389375,0.7294807370184254,0.8119716533418304,0.764383950625703,11.839814186096191,0.2,5984,pso_trial_011,0.00013511573016859805,0.24874030800761732,96,7,96,96,2.0967351271104544,32,"[1.2817686116631526, 1.169414994763395, 1.0709051538322576, 1.34003679650324]"
2026-06-01T08:12:15.057356+00:00,42,12,ok,-0.7678335770583566,0.7352551195235376,0.8249118683901293,0.7840788120618736,0.7678335770583566,14.039998292922974,0.2,5984,pso_trial_012,0.0006599297935279384,0.27265845679834544,160,7,96,96,1.8641356219534855,32,"[1.18970607976884, 1.5, 1.047463015629398, 0.8055195970356024]"
2026-06-01T08:12:29.842047+00:00,42,13,ok,-0.7518686878473269,0.7195271240256098,0.8154506437768241,0.7633833235971909,0.7518686878473269,14.16990041732788,0.2,5984,pso_trial_013,0.004999999999999999,0.37409035666704554,160,7,96,96,2.7232584978406686,48,"[1.3151029256462885, 0.6621263802555615, 1.0526306779275094, 0.9362669133226775]"
2026-06-01T08:12:44.413467+00:00,42,14,ok,-0.7811502255372371,0.7586952141894417,0.7833572453371592,0.8171038979169483,0.7811502255372371,14.047285556793213,0.2,5984,pso_trial_014,0.0004014141865466166,0.18061590716810122,160,5,96,96,1.675551149410388,32,"[1.4826488320754179, 1.1002583315913188, 0.6, 1.4969193066528816]"
2026-06-01T08:13:08.329149+00:00,42,15,ok,-0.7863550632509669,0.7448237874597574,0.8581907090464548,0.8076834257059909,0.7863550632509669,23.25427746772766,0.2,5984,pso_trial_015,0.0008627313420471331,0.1747528433494455,192,3,128,64,2.390180690215487,48,"[0.6503431438105491, 1.467578009697644, 1.3310742072231694, 1.5]"
2026-06-01T08:13:19.961682+00:00,42,16,ok,-0.7818542071195393,0.7521039343347817,0.8137673425827108,0.810162571452021,0.7818542071195393,11.09243655204773,0.2,5984,pso_trial_016,0.0012406858018701708,0.1038703891227746,96,3,96,96,1.2142452135301436,64,"[1.5, 1.294127169992122, 1.4689853232010852, 1.5]"
2026-06-01T08:13:29.036821+00:00,42,17,ok,-0.7826886321334218,0.7419322086984137,0.8416666666666667,0.8112973148362719,0.7826886321334218,8.43345022201538,0.2,5984,pso_trial_017,0.0010647999808695362,0.21898090616968793,128,5,64,96,2.7528015868809725,48,"[1.0934437401774948, 1.34471160262499, 0.6, 1.311830121084458]"
2026-06-01T08:13:44.012903+00:00,42,18,ok,-0.752149445972349,0.7387579362552298,0.6990558615263572,0.8098643517982091,0.752149445972349,14.37760305404663,0.2,5984,pso_trial_018,0.0005396163553489421,0.2591802657532745,192,7,96,64,3.0,32,"[1.4120233806744817, 1.4237599076282978, 1.240675488297721, 1.5]"
2026-06-01T08:13:51.330138+00:00,42,19,ok,-0.7792727899610723,0.7494305492952521,0.8063492063492064,0.8109589134786837,0.7792727899610723,6.794180870056152,0.2,5984,pso_trial_019,0.000972595915059593,0.28113970350241335,64,5,64,96,2.068887117316524,48,"[1.1320621786304939, 0.7578113630998322, 0.8984754895386935, 1.0061837635718829]"
2026-06-01T08:14:06.969415+00:00,42,20,ok,-0.7253458025049744,0.7151331209148369,0.6527878349022448,0.7907389168903565,0.7253458025049744,15.084503173828125,0.2,5984,pso_trial_020,0.0001,0.3157749029486341,192,3,96,128,1.9727612922781312,32,"[0.7602378555184567, 1.2387870944300527, 0.961157269725472, 1.3634186954186878]"
2026-06-01T08:14:20.134043+00:00,42,21,ok,-0.7647409431878254,0.7505219511969596,0.7310113302559799,0.8109256717938319,0.7647409431878254,12.52980661392212,0.2,5984,pso_trial_021,0.00012435127300120167,0.2344729640333897,128,7,96,96,1.9341248720196327,32,"[1.3359597394552425, 1.3769428782406767, 0.8959270398416735, 1.3829839264421355]"
2026-06-01T08:14:34.796352+00:00,42,22,ok,-0.7773612755545027,0.7560911659623737,0.7616674218396012,0.8232740273513186,0.7773612755545027,14.174959659576416,0.2,5984,pso_trial_022,0.0004506595102401639,0.2149643269295603,160,7,96,96,2.0682443558939108,32,"[1.2402398279794586, 1.5, 0.8638662879611424, 0.7862655365765093]"
2026-06-01T08:14:49.682485+00:00,42,23,ok,-0.7480286123858427,0.7253711849480471,0.7734333154793787,0.7688545227198116,0.7480286123858427,14.359666347503662,0.2,5984,pso_trial_023,0.0031993488804210944,0.27514667084867306,160,7,96,96,2.7349289231895737,48,"[1.3358949338743416, 0.8818959151943383, 0.9755006298963345, 1.1254841729665883]"
2026-06-01T08:15:04.605699+00:00,42,24,ok,-0.7811150537339279,0.7595171890798786,0.782051282051282,0.8164873426124404,0.7811150537339279,14.157126188278198,0.2,5984,pso_trial_024,0.0004087593988065238,0.1781829509150873,160,5,96,96,1.6810507417223932,32,"[1.4871536543721149, 1.1260772367432728, 0.6, 1.5]"
2026-06-01T08:15:28.263437+00:00,42,25,ok,-0.7827025472520706,0.7513253001070712,0.8203592814371258,0.8098934697036995,0.7827025472520706,23.17233419418335,0.2,5984,pso_trial_025,0.001462995453360707,0.1700863512921793,192,5,128,64,2.3936904287618037,48,"[0.6, 1.5, 1.101351682408335, 1.5]"
2026-06-01T08:15:40.791954+00:00,42,26,ok,-0.7810648397804435,0.7487613763566457,0.817586018569088,0.8105564929610103,0.7810648397804435,11.89035415649414,0.2,5984,pso_trial_026,0.0007888722102036492,0.1,128,3,96,96,1.0328678287529671,64,"[1.5, 1.3942090829933178, 1.268745799518773, 1.5]"
2026-06-01T08:15:50.330984+00:00,42,27,ok,-0.7875470692724076,0.7611624664868091,0.7952987267384917,0.8263536356043489,0.7875470692724076,8.947359800338745,0.2,5984,pso_trial_027,0.0008147784622604694,0.1260551441846863,128,7,64,64,2.3991428333958944,32,"[1.0499762424420145, 1.3271583758882175, 0.6, 1.5]"
2026-06-01T08:16:05.356361+00:00,42,28,ok,-0.7710272251146122,0.734427376517377,0.835956416464891,0.7887408452098179,0.7710272251146122,14.422822952270508,0.2,5984,pso_trial_028,0.0009416105420371275,0.28486265756081175,192,7,96,64,2.8153359602437114,32,"[1.5, 1.5, 0.9956212229529979, 1.5]"
2026-06-01T08:16:14.872845+00:00,42,29,ok,-0.7775708418036835,0.7556439599335745,0.7767220902612827,0.8146814792821325,0.7775708418036835,8.848937749862671,0.2,5984,pso_trial_029,0.0012505251192260255,0.29584408420463354,96,7,64,96,2.4959185947961866,32,"[1.087768184223924, 0.8794172577140384, 0.7357660442842866, 0.9790804564897853]"
2026-06-01T08:16:26.531727+00:00,42,30,ok,-0.7286264172996558,0.7128604755489436,0.7100977198697068,0.7672554518374756,0.7286264172996558,11.06018328666687,0.2,5984,pso_trial_030,0.00012364864494547273,0.24352629107647095,192,3,64,128,1.746570724136306,32,"[1.004479101968116, 1.456413456450558, 0.8737201548364201, 1.3606971866118287]"
2026-06-01T08:16:40.001336+00:00,42,31,ok,-0.7768717308198853,0.7628940997517196,0.7510638297872341,0.817373049955262,0.7768717308198853,12.769315958023071,0.2,5984,pso_trial_031,0.00016702487846828197,0.17651636349713073,128,7,96,96,1.872824466564482,48,"[1.3338020215949433, 1.3279798344675995, 0.6635479949051888, 1.3995303624956543]"
2026-06-01T08:16:55.829016+00:00,42,32,ok,-0.777860850817396,0.7583287880440711,0.7556142668428005,0.825245344756001,0.777860850817396,15.071542739868164,0.2,5984,pso_trial_032,0.00033694131258376654,0.18282313770269273,192,7,96,96,2.1287944457900303,48,"[1.2923427928678968, 1.5, 0.7248111302130347, 0.8241793326979743]"
2026-06-01T08:17:10.749484+00:00,42,33,ok,-0.7793965923656102,0.7490378742512416,0.8061440677966102,0.8121628056022246,0.7793965923656102,14.288415670394897,0.2,5984,pso_trial_033,0.0015804722504779022,0.2239509539235207,160,7,96,96,2.3386641579008103,48,"[1.3480799238409273, 1.172942524316209, 0.7596767682014902, 1.2077059657006881]"
2026-06-01T08:17:25.577326+00:00,42,34,ok,-0.7816967218701252,0.7615948439999909,0.7766450417052827,0.8185676384302442,0.7816967218701252,14.306073665618896,0.2,5984,pso_trial_034,0.00038843585268727785,0.15469529653113798,160,5,96,96,1.699561503358625,48,"[1.3935930666657215, 1.264648246547866, 0.6, 1.4464226973810859]"
