generated_at_utc,seed,split,model_variant,candidate_type,brier_score,roc_auc,pr_auc
2026-06-01T08:39:49.759216+00:00,42,val_calibration,blend_dl05_xgb04_lgbm01,weighted_blend,0.1238676037824117,0.9079727352682497,0.9007414696808964
2026-06-01T08:39:50.521081+00:00,42,val_calibration,blend_dl05_xgb05_lgbm00,weighted_blend,0.12482439364431702,0.9063714034426434,0.8988617842550181
2026-06-01T08:39:51.281305+00:00,42,val_calibration,blend_dl06_xgb00_lgbm04,weighted_blend,0.12712425348827855,0.9082654856137707,0.9011548959112986
2026-06-01T08:39:52.130868+00:00,42,val_calibration,blend_dl06_xgb01_lgbm03,weighted_blend,0.12794016332216504,0.9073551953763037,0.8999072100286147
2026-06-01T08:39:53.186452+00:00,42,val_calibration,blend_dl06_xgb02_lgbm02,weighted_blend,0.1288149309226609,0.9062231436110064,0.8984855615857879
2026-06-01T08:39:54.250135+00:00,42,val_calibration,blend_dl06_xgb03_lgbm01,weighted_blend,0.12974855566487092,0.9047524814675211,0.8970384044001579
2026-06-01T08:39:55.274675+00:00,42,val_calibration,blend_dl06_xgb04_lgbm00,weighted_blend,0.13074103836079828,0.9030820454831009,0.8951691048360851
2026-06-01T08:39:56.389430+00:00,42,val_calibration,blend_dl07_xgb00_lgbm03,weighted_blend,0.13461017429148314,0.9024230430958663,0.8940011991466607
2026-06-01T08:39:57.149706+00:00,42,val_calibration,blend_dl07_xgb01_lgbm02,weighted_blend,0.13552063482826654,0.9011703731624576,0.8926734771398891
2026-06-01T08:39:57.877334+00:00,42,val_calibration,blend_dl07_xgb02_lgbm01,weighted_blend,0.1364899523353288,0.8995910290237465,0.8905284920079641
2026-06-01T08:39:58.618592+00:00,42,val_calibration,blend_dl07_xgb03_lgbm00,weighted_blend,0.13751812696907287,0.8976586254554593,0.8877519233416477
2026-06-01T08:39:59.345885+00:00,42,val_calibration,blend_dl08_xgb00_lgbm02,weighted_blend,0.14308678379671194,0.893180675964317,0.8835647966868001
2026-06-01T08:40:00.084201+00:00,42,val_calibration,blend_dl08_xgb01_lgbm01,weighted_blend,0.14409179375189993,0.8914650081668551,0.880598849567698
2026-06-01T08:40:00.834795+00:00,42,val_calibration,blend_dl08_xgb02_lgbm00,weighted_blend,0.14515566164692975,0.8892555597436863,0.8786040308305304
2026-06-01T08:40:01.576881+00:00,42,val_calibration,blend_dl09_xgb00_lgbm01,weighted_blend,0.15255407952870825,0.8779564015579846,0.8668371267831027
2026-06-01T08:40:02.327052+00:00,42,val_calibration,blend_dl09_xgb01_lgbm00,weighted_blend,0.15365363956653968,0.8752148511119487,0.8645107027581137
2026-06-01T08:40:03.086204+00:00,42,val_calibration,blend_dl10_xgb00_lgbm00,weighted_blend,0.16301206416262148,0.8528722201281568,0.8454661409305397
