row_id,basic_char_len_log,basic_word_count_log,basic_rating_deviation,basic_sentiment_compound,basic_verified_purchase,adv_review_velocity_30d,adv_product_burst_7d,adv_reviewer_behavior_score,adv_time_gap_hours_log
137,5.549076,3.8286414,1.9354342,0.3164,1.0,0.0,0.0,0.32744867,8.157623
138,5.9107966,4.2195077,1.0645658,0.8376,1.0,0.0,0.0,0.40888837,8.157623
139,2.3978953,1.0986123,1.0645658,0.6369,1.0,0.0,0.0,-0.50957066,8.157623
140,4.317488,2.7080503,1.0645658,0.8307,1.0,0.0,0.0,0.035727713,8.157623
141,4.744932,3.1354942,0.9354343,0.128,1.0,0.0,1.0,-0.26799324,8.157623
142,4.762174,3.1354942,2.9354343,-0.8209,1.0,0.0,0.0,-0.13031018,8.157623
143,5.3033047,3.7841897,2.9354343,0.6159,1.0,0.0,0.0,0.73667467,8.157623
144,5.4510384,3.8918202,2.9354343,-0.5256,1.0,0.0,0.0,0.18187493,8.157623
145,3.6888795,1.7917595,1.0645658,0.8126,1.0,0.0,0.0,-0.119431175,8.157623
146,4.4308167,2.8903718,1.0645658,0.8158,1.0,0.0,0.0,0.054327454,8.157623
147,4.4188404,2.8332133,0.06456572,0.3384,1.0,0.0,0.0,-0.5064933,8.157623
148,4.7184987,3.1354942,1.0645658,0.7251,1.0,0.0,0.0,0.07425548,8.157623
149,5.5451775,3.8918202,0.9354343,0.8475,1.0,0.0,0.0,0.28893673,8.157623
150,6.161207,4.5849676,1.9354342,0.1557,1.0,0.0,0.0,0.3865158,8.157623
151,6.1675167,4.5108595,1.0645658,0.9396,0.0,0.0,0.0,0.5210767,8.157623
152,3.9512436,2.4849067,1.0645658,0.8189,0.0,0.0,0.0,-0.055319406,8.157623
153,3.6109178,1.7917595,1.0645658,0.765,1.0,0.0,0.0,-0.16207983,8.157623
154,4.691348,3.1780539,0.06456572,0.6114,1.0,0.0,0.0,-0.30239847,8.157623
155,4.762174,3.2580965,2.9354343,-0.5729,1.0,0.0,0.0,-0.0023301279,8.157623
156,5.049856,3.295837,1.0645658,0.9245,1.0,0.0,0.0,0.2540205,8.157623
157,6.413459,4.7706847,0.06456572,0.9925,0.0,1.0,0.0,3.7814796,5.5793524
158,5.869297,4.158883,2.9354343,0.6597,1.0,0.0,0.0,0.8905708,8.157623
159,5.820083,4.0943446,1.0645658,0.7794,1.0,0.0,0.0,0.35781148,8.157623
160,4.644391,3.2580965,0.06456572,0.5023,1.0,0.0,0.0,-0.36959198,8.157623
161,5.549076,3.9512436,0.9354343,0.7598,1.0,0.0,0.0,0.24458362,8.157623
162,3.6635616,2.1972246,1.9354342,-0.5926,1.0,0.0,0.0,-0.57902247,8.157623
163,2.3978953,1.0986123,1.0645658,0.6369,1.0,0.0,0.0,-0.50957066,8.157623
164,2.9957323,1.0986123,0.9354343,0.4404,1.0,0.0,0.0,-0.5125417,8.157623
165,5.57973,3.9512436,1.0645658,0.9343,1.0,0.0,0.0,0.38199267,8.157623
166,4.7957907,3.1354942,1.0645658,0.8172,1.0,0.0,0.0,0.13971291,8.157623
167,3.713572,2.0794415,1.0645658,0.5859,0.0,0.0,0.0,-0.23069145,8.157623
168,6.135565,4.5217886,1.0645658,0.9676,1.0,0.0,0.0,0.5281142,8.157623
169,4.59512,2.944439,0.06456572,-0.0516,1.0,0.0,0.0,-0.6668607,8.157623
170,6.9117475,5.2983174,1.9354342,0.9673,1.0,0.0,0.0,0.97944367,8.157623
171,5.389072,3.7376697,1.0645658,0.9354,1.0,0.0,0.0,0.33833334,8.157623
